,SUPPLIER_ERP,SUPPLIER_ADDRESS,SUPPLIER_CITY,SUPPLIER_STATE,SUPPLIER_ZIP_POSTAL_CDE,SUPPLIER_COUNTRY,D-U-N-S Number,business_name,street_address,cosine_similarity
3,BRAINBOX DESIGN ESTRATEGICO S A,UnknownSupplierAddress,CURITBA,,,BRASIL,113036002,T & S Design LLC,1955 Greymont St Philadelphia PA,0.1396
4,CHRISTIAN D STORZ,FRANCHISE PERFORMANCE 9 CORONET TERRACE BURLINGTON NJ,BURLINGTON,NJ,8016,US,104955367,Vivian Storz,9 Coronet Ter Burlington NJ,0.6573
9,COOPERATIVE FOR ASSISTANCE AND RELIEF EVERYWHERE INC.,151 ELLIS STREET NE ATLANTA GA,ATLANTA,GA,30303,US,1793082,"Cooperative For Assistance and Relief Everywhere, Inc. (care)",151 Ellis St Ne Atlanta GA,0.9716
8,FWH,325 SUB WAY MILFORD CT,MILFORD,CT,6461,USA,34213823,"336 Bic Drive Realty II, LLC",325 Sub Way Milford CT,0.6667
1,INTERNATIONAL ASSOCIATION OF IT ASSET MANAGERS,IAITAM 4848 MUNSON STREET NW CANTON OH,CANTON,OH,44718,US,137673179,"International Association of Information Technology Asset Managers, Inc.",4848 Munson St NW Canton OH,0.8279
7,MATTHEW MILLER,BUSINESS ANALYTICS 266 LEMUR DRIVE SAN ANTONIO TX,SAN ANTONIO,TX,78213,US,36768041,Methodist Plaza Imaging Ctr, San Antonio TX,0.3812
0,NEXO,UnknownSupplierAddress,BRUSSELS,,,BELGUIM,927477331,"William Morris Endeavor Entertainment, LLC",1201 Demonbreun St FL 15 Nashville TN,0.0
6,"REINHART FOODSERVICE, L.L.C.-WISCONSIN",100 HARBOR VIEW PLAZA SUITE 200 LA CROSSE WI,LA CROSSE,WI,54601,US,47191968,"Reinhart Foodservice, L.L.C.",100 Harborview Plz La Crosse WI,0.7289
5,WIGGIN AND DANA LLP,ATTENTION: ACCOUNTS RECEIVABLE P.O. BOX 1832 NEW HAVEN CT,NEW HAVEN,CT,06508-1832,US,82672270,Wiggin & Dana LLP,265 Church St FL 14 New Haven CT,0.4829
0,"WILLIAM MORRIS ENDEAVOR ENTERTAINMENT, LLC",1201 DEMONBREUN STREET 15TH FLOOR NASHVILLE TN,NASHVILLE,TN,37203,US,927477331,"William Morris Endeavor Entertainment, LLC",1201 Demonbreun St FL 15 Nashville TN,1.0000000000000002
